neighborhood,average_mph
New Brighton,5.845313770878026
Silver Lake,10.843997656157045
West Brighton,10.843997656157045
Clove Lake,15.842681541436065
Castleton Corners,15.842681541436065
Stapleton,15.842681541436065
Grymes Hill,15.842681541436065
Rossville,16.0739076736344
Floral park,20.60795421778858
Bellerose,26.524714173959968
Howard Beach,38.42546306905639
Ozone Park,42.764256483875364
Woodhaven,45.64393914676296
John F. Kennedy International Airport,51.640869701786734
Glendale,54.75124140311187
East New York,55.21175126200546
East Jamaica Bay Islands,56.74062586189822
Arverne,57.48079786803084
Garment District,57.8649663221883
Laurelton,57.887152121176946
Columbus Circle,57.94320939098239
East Village,58.23636782050612
Upper West Side,58.81220844533893
Clinton,59.0281400498791
Midtown,59.09010732058022
Lower East Side,59.15120291932099
Flatiron District,59.28248789466492
Gramercy,59.4031680154469
NoHo,59.945417396985796
Central Park,60.02456045685819
DUMBO,60.24098463152205
Woodlawn,60.503139038760835
Far Rockaway,60.84904469645629
Greenwich Village,60.93200237885868
St. George,61.06094376369398
Fieldston,61.14743656628911
Chelsea,61.361903470644954
Little Italy,61.384036158498475
Brooklyn Heights,61.495949420627454
Stuyvesant Town,61.57217432015893
Hunters Point,61.618785769768536
Cobble Hill,61.984233127635356
Downtown,62.04868899641097
Tudor City,62.15657964141095
Boerum Hill,62.23245773622941
Bergen Beach,62.429324902554946
West Village,62.67528490891136
Rego Park,62.72226226420392
East Harlem,62.802334901191855
Chinatown,62.97943334424182
Gowanus,63.13150129384169
Carnegie Hill,63.24253500944259
Carroll Gardens,63.313457146744135
Financial District,63.4217271946442
Harlem,63.463990150908465
Vinegar Hill,63.54442744841372
Woodside,63.59018673318792
Astoria,63.6179914467291
East Elmhurst,63.87796739910947
Turtle Bay,63.8890818600641
Fort Greene,64.09604224185217
Roosevelt Island,64.18294282082226
La Guardia Airport,64.25742715998213
Upper East Side,64.29715786994059
Columbia Street Waterfront District,64.30412860073594
SoHo,64.31351553959101
Blissville,64.42558155894525
Park Slope,64.55768405466004
South Ozone Park,64.79519537107899
Greenpoint,65.5802753417903
Glen Oaks,65.63147811207521
Middle Village,65.65410138443946
Forest Hills,65.89358473154728
West Jamaica Bay Islands,66.11776618682366
Morningside Heights,66.19331797054633
Ridgewood,66.22609042316157
Maspeth,66.32181028329889
Navy Yard,66.38263941806825
Williamsburg,66.45365499616139
Tribeca,66.46021182478651
Clason Point,66.56057425638542
Corona,66.75929692128054
Sutton Place,66.78485698043421
Soundview,66.86448455649129
Melrose,67.23754414130819
Kingsbridge,67.25730856474415
Elmhurst,67.39850809920188
Richmond Hill,67.40251565599876
Parkchester,67.51500311388564
Hamilton Heights,67.5472862565918
Jackson Heights,67.61706200027237
Williamsbridge,67.64283936274701
West Farms,67.97670554159642
Prospect Heights,68.06068673801049
Cambria Heights,68.08111326563113
Springfield Gardens,68.15570825834675
Mott Haven,68.26674290398823
Manhattanville,68.37796920966477
