neighborhood,area
John F. Kennedy International Airport,773.118081731667
East New York,642.9532092968122
Astoria,492.72590204719444
Jamaica,415.80180024988437
Pelham Bay Park,394.90312632366664
Williamsburg,373.91056603725923
Far Rockaway,352.82951293273203
Maspeth,335.8720999387234
Bayside,325.9005213751906
Bloomfield,321.6861870580433
Canarsie,311.71926369270415
Throggs Neck,304.6334052309648
Great Kills,301.58719002018387
Douglaston-Little Neck,278.10515051656336
Bedford Stuyvesant,277.68553900656804
Whitestone,274.96609714925495
East Jamaica Bay Islands,268.31262886347577
East Flatbush,267.86088581914976
South Ozone Park,260.2253999951298
Glendale,246.64125634807374
Williamsbridge,241.78629106911697
Queens Village,241.62704293220438
West Jamaica Bay Islands,239.46955130611116
Sheepshead Bay,237.72234621758244
Floyd Bennett Field,237.30460845685667
Flushing,236.2934345214545
Howard Beach,233.60176571497524
Marine Park,229.2121953592848
Forest Hills,227.71243135028777
Sunset Park,227.68017960722372
College Point,227.12945284768787
Ozone Park,218.8185470255793
Washington Heights,214.52056854747832
Murray Hill,207.91545980277726
Crown Heights,202.6069778931753
Fresh Kills Park,200.3673233127416
Gravesend,200.2530378381987
Upper West Side,200.0350159129881
Oakland Gardens,198.49491942517994
Flatbush,197.74102725071268
Eltingville,194.77666046053588
Bushwick,193.7785885209566
East Elmhurst,193.00428770570298
Bath Beach,191.55411896446478
St. Albans,189.0050316014598
Rosedale,186.35268098907346
Bellerose,184.7366654502638
Auburndale,181.5952656772577
Flushing Meadows Corona Park,180.86342252501015
Rossville,180.56366703063165
Hunts Point,178.67860809167826
Kew Gardens Hills,178.21995261526277
Soundview,177.07010791728416
Fresh Meadows,177.02544712100757
Prince's Bay,175.95285244804714
Port Ivory,175.50510888131143
Van Cortlandt Park,174.8491390097203
Huguenot,172.75245928153512
Springfield Gardens,171.97414916435528
Bensonhurst,170.8187714649404
Upper East Side,168.93654014062577
Coney Island,168.24582327923784
Laurelton,167.626702492811
Charleston,165.5641865616013
Heartland Village,164.81923896505552
South Bronx,162.767216001644
Borough Park,161.51313293591008
Willowbrook,161.2277472131746
East Harlem,161.1452788528581
Greenwood,159.44520701871045
Ridgewood,159.3161393272079
Flatlands,157.47709938888633
Emerson Hill,153.4339511552927
Chelsea-Travis,151.57839102352276
Middle Village,150.3832992657356
Breezy Point,150.31391900946394
West Brighton,149.0379476548681
Richmond Hill,147.59529658651996
Hollis,146.340156194801
Midwood,144.4680335367374
Elmhurst,144.2308313718694
Todt Hill,143.07128804528347
Greenpoint,141.11109658933216
Bay Ridge,139.65272607061928
Rochdale,136.93138655561646
Harlem,135.94819987818303
Concourse,133.8462749510429
Fresh Kills,133.3812086105509
Oakwood,133.34613360017528
Tottenville,133.0391492886593
Corona,131.10569800835106
La Guardia Airport,130.0724049331454
Annadale,127.83545768436007
Central Park,125.6757526454741
Fort Hamilton,122.74614772646319
Dyker Heights,122.27562288948708
Pleasant Plains,121.09531983181735
Woodside,118.2193952676504
La Tourette Park,116.15612224875524
Red Hook,115.57250191941867
Brownsville,114.79813594265929
Ocean Parkway,114.16730391210452
New Springville,113.6115560982727
Wakefield,113.30460783444973
Bulls Head,112.22099515710339
Port Richmond,111.29702142272126
Mariner's Harbor,109.80293411803004
Hunters Point,109.35377494534389
Morris Park,107.6158716720423
Pelham Bay,107.53006945094864
Lower East Side,107.49652245352887
Park Slope,106.47625794746753
Richmond Town,104.30948762739322
South Beach,103.43991794261615
Inwood,103.27183032636438
Pelham Gardens,103.13963330934672
Bronx Park,102.41179377469533
Randals-Wards Island,101.24827410394039
Glen Oaks,98.78147580947712
Woodlawn,97.30117840357676
Mott Haven,97.13264603799394
Arverne,96.42866804414108
Richmond Valley,95.97144138117271
Midland Beach,95.23093298809617
Bedford Park,94.97691528949849
Arden Heights,94.48681727277761
Co-op City,92.64895163695077
Chelsea,91.13482451577318
Rego Park,89.48893223484362
Cambria Heights,89.33206224877567
Rockaway Park,86.6054562677083
Greenridge,86.12045328831421
Castle Hill,85.26074336450962
Floral park,85.23366913878341
Rosebank,84.79523273543505
Prospect Park,84.77297154850265
Kensington,84.31403054504028
Mill Basin,83.43807730921976
Grymes Hill,81.02076567038918
Rikers Island,80.68477433819213
University Heights,80.51420585189841
Woodhaven,80.24127801713472
Broad Channel,78.34496679291229
Jamaica Estates,76.89799691582078
Jacob Riis Park,76.26964523045288
Bergen Beach,74.98545982504
Riverdale,73.60655207221203
Castleton Corners,73.10955734171321
Briarwood,72.95651305231944
Hillcrest,72.5538029201719
Fort Greene,71.92154508538903
Jackson Heights,71.01435306303698
Kew Gardens,70.23524866485548
Midtown,69.03117555935657
Port Morris,68.67017135920568
North Riverdale,68.39794259990504
St. George,68.38195465537511
East Village,68.17835292656738
Gowanus,67.8158770419611
Clinton,67.57139552367714
Eastchester,66.95225686297785
City Island,66.58460864287365
Grasmere - Concord,66.46202767648538
Randall Manor,66.30784790437478
New Dorp,65.16120054874372
High Bridge,65.11297901972154
Hamilton Heights,64.82963778458536
Manhattan Beach,64.40076621324197
Westchester Heights,64.33776424177627
Morningside Heights,63.98745405519439
Stapleton,63.50137264367602
Fort Tilden,63.28212426530796
Baychester,63.093867066542195
Graniteville,62.98283967326374
Financial District,62.828611244770975
Ocean Hill,62.541172400348714
East Tremont,62.010942764003985
Homecrest,61.410191797614864
New Dorp Beach,61.263226676675
Unionport,60.999165886091475
Clason Point,60.77382968135419
Longwood,56.89735245832868
Gramercy,56.094714224338
Melrose,55.85547642730993
Brighton Beach,55.820099509317636
Spuyten Duyvil,55.46486424747316
Old Town,54.90915888231378
Grant City,54.05465010774979
Woodrow,53.95393031005095
Kingsbridge,53.815911549899724
Clinton Hill,53.62755577953186
Morris Heights,53.60249056131761
Lighthouse Hill,53.33196909951907
Meiers Corners,52.83155992286336
West Village,52.52620996466436
Butler Manor,50.90124771511615
Arrochar,50.41454430492879
Parkchester,50.15709182295328
Tribeca,49.81301635975351
Bay Terrace,49.445167513708235
Belle Harbor,49.30922365076329
Fort Wadsworth,49.30094020796767
Flatiron District,49.24821096108462
Country Club,48.87361544059414
Rockaway Beach,48.6312483559164
Tremont,47.878587113705755
Norwood,46.31622115384332
Silver Lake,45.905989791807166
Brooklyn Heights,45.44918795086106
Georgetown,45.28851309508101
Prospect Lefferts Gardens,45.10261832866064
Wingate,45.04748040211383
Greenwich Village,44.518988972002404
Fieldston,44.33521005448008
Roosevelt Island,44.23701119156067
Fordham,43.534771366553876
Van Nest,42.742969464744775
Tompkinsville,41.16632886285892
New Brighton,40.715031466727915
Belmont,40.69683703146324
Governors Island,40.58424854756031
Columbus Circle,40.443461585782245
Holliswood,39.039924208527545
Windsor Terrace,38.43732582322785
Jamaica Hills,37.80977273241334
Clove Lake,37.1160677041224
New Utrecht,36.51875829985203
Downtown,36.20856527770305
Westerleigh,36.12454742839593
SoHo,34.913138632520386
Sunnyside,34.29928647864623
West Farms,32.90632280279131
Prospect Heights,32.437011138190236
Park Hill,32.18034917237738
Gerritsen Beach,31.71833994517788
Garment District,30.37461036350542
Dongan Hills,29.99690607576718
Hart Island,29.884699779331413
Columbia Street Waterfront District,29.46160176862092
Turtle Bay,27.91428352671683
Manhattanville,27.76752962165954
Carroll Gardens,26.308847191823443
Astoria Heights,25.926486482833607
Battery Park,25.15624162623172
Forest Hills Gardens,24.167621589146606
Blissville,23.276903778545826
Malba,22.596440522011246
Navy Yard,22.591610893629028
Boerum Hill,22.571495422286876
Neponsit,22.40593973685561
Pomonok,21.642749218026186
Sutton Place,18.81140579725554
Elm Park,18.771820820559917
Tudor City,18.22704987076463
Utopia,16.474620886343732
DUMBO,16.04942668534919
Stuyvesant Town,15.81919347164324
Clifton,15.273456850199262
Carnegie Hill,14.588412156060532
Cobble Hill,13.031396416100517
Chinatown,12.579010110082278
Marble Hill,12.252822036129599
Roxbury,11.199321296037711
Little Italy,9.830942539865463
NoHo,8.87522889732213
Prospect Park South,8.37314396623604
Vinegar Hill,7.6278442328377505
Shore Acres,6.647524921716275
Mill Rock Park,3.3416507061924006
Liberty Island,2.2397316968802876
Ellis Island,0.7600579198922308
